id,name,condition,priority,event_type,target_amount,reward_amount,reward_type,quest_type,unlockable_id,parameter_options
1,Daily Sun Collector,Collect {parameter} units of sun in one day,MEDIUM,SUN_COLLECTED,3000,30,CURRENCY_COINS,DAILY,NONE,3000|4000|5000
2,Chapter Hunter,Defeat 50 zombies from the {chapter} chapter,HIGH,CHAPTER_ZOMBIE_KILLS,50,10,INVENTORY,MAIN,NONE,@CHAPTER
3,Professional Plant Killer,Kill 10 zombies using only {plant},HIGH,SPECIFIC_PLANT_KILLS,10,0,UNLOCKABLE,DAILY,any_plant,@KILLING_PLANT
4,Only Cactus,Kill 10 zombies using only Cactus,HIGH,SPECIFIC_PLANT_KILLS,10,20,CURRENCY_GEMS,DAILY,NONE,Cactus
5,Economical Plant Saver,Win a level without losing more than {parameter} plants,HIGH,WIN_MAX_PLANTS_LOST,1,20,INVENTORY,MAIN,NONE,0|1|2|3|4|5
6,Defense Master,Finish a level with exactly 0 sun remaining,CRITICAL,WIN_EXACT_SUN,1,200,CURRENCY_GEMS,EPIC,NONE,0
7,Quick Action,Kill 10 zombies within 30 seconds after the first zombie wave starts,MEDIUM,FAST_KILLS,10,500,CURRENCY_COINS,MAIN,NONE,30
8,Professional Destroyer,Use 3 explosive plants in one level,LOW,EXPLOSIVE_PLANTS_USED,3,100,CURRENCY_COINS,DAILY,NONE,NONE
9,Symmetry,Win a level with a symmetrical garden,HIGH,FINISH_SYMMETRIC,1,500,CURRENCY_COINS,DAILY,NONE,NONE
10,Family Massacre,Kill zombies using only plants from the {family} family,MEDIUM,ONLY_FAMILY_KILLS,1,1000,CURRENCY_COINS,DAILY,NONE,@FAMILY
11,Blooming Under Restrictions,Win without using any plant from the {family} family,HIGH,WIN_WITHOUT_FAMILY,1,100,CURRENCY_GEMS,DAILY,NONE,@FAMILY
12,Night or Morning,Complete a daytime level using only night plants or mushrooms,HIGH,WIN_DAY_WITH_NIGHT_PLANTS,1,20,CURRENCY_GEMS,EPIC,NONE,NONE
13,Win Streak,Win 5 consecutive levels on the highest difficulty,MEDIUM,MAX_DIFFICULTY_WIN_STREAK,5,5000,CURRENCY_COINS,DAILY,NONE,NONE
14,Almost Victory,Kill 10 zombies in column 1 of a row whose lawn mower is gone,MEDIUM,FIRST_COLUMN_KILLS_NO_MOWER,10,300,CURRENCY_COINS,DAILY,NONE,NONE
15,OCD Challenge,Win a level where the garden has no symmetry except the middle row,MEDIUM,WIN_ASYMMETRIC_EXCEPT_MIDDLE,1,800,CURRENCY_COINS,DAILY,NONE,NONE
16,Cloudy Day,Win a level after planting exactly 3 plants and using only sun-producing plants,HIGH,WIN_ONLY_SUN_PRODUCERS_EXACT_COUNT,1,10,CURRENCY_GEMS,DAILY,NONE,3
17,One Less Column,Win without planting anything in column {column},HIGH,WIN_EMPTY_COLUMN,1,10,CURRENCY_GEMS,DAILY,NONE,@COLUMN
18,Defenseless Row,Win without planting anything in row {row},HIGH,WIN_EMPTY_ROW,1,20,CURRENCY_GEMS,DAILY,NONE,@ROW
19,Defenseless Cross,Win while leaving row {row} and column {column} empty,HIGH,WIN_EMPTY_CROSS,1,25,CURRENCY_GEMS,DAILY,NONE,@CROSS
20,Lawn Mowing Time,Kill at least {parameter} zombies using lawn mowers,MEDIUM,MOWER_KILLS,10,10,CURRENCY_GEMS,EPIC,NONE,10|20|30|40|50
